regulation_id,from_section_id,referenced_document,referenced_section_hint,reference_type,description
APS-220,APS-220-S3,APS 120,Securitisation — operational requirements for regulatory capital relief,supplements,APS 220 excludes from its scope exposures securitised or transferred into securitisation vehicles that meet APRA's operational requirements for regulatory capital relief under APS 120.
APS-220,APS-220-S4,APS 001,Definitions,requires,Terms defined in APS 001 appear in bold on first use in APS 220.
APS-220,APS-220-S7,CPS 220,Risk Management — overall risk appetite statement and risk management strategy,supplements,APS 220 credit risk appetite statement and credit risk management strategy need not be stand-alone documents where they form part of the overall risk appetite statement or risk management strategy required under CPS 220.
APS-220,APS-220-S8,CPS 231,Outsourcing — requirements for outsourced functions,requires,ADIs that outsource aspects of credit risk management must have regard to CPS 231 for outsourced functions.
APS-220,APS-220-S9,APS 221,Large Exposures,supplements,"For large exposures, ADIs must also have regard to APS 221 Large Exposures."
APS-220,APS-220-S9,APS 222,Associations with Related Entities,supplements,"For associations with related entities, ADIs must also have regard to APS 222 Associations with Related Entities."
APS-220,APS-220-S12,CPS 510,Governance — senior officer requirements for foreign ADIs,supplements,"Board requirements for foreign ADIs must be read subject to CPS 510, which requires a foreign ADI to nominate a senior officer outside Australia with delegated authority."
APS-220,APS-220-S13,CPS 220,Risk Management — internal risk appetite limits,supplements,"In addition to requirements in CPS 220, APS 221 and APS 222, ADIs must develop policies to ensure adequate portfolio diversification."
APS-220,APS-220-S13,APS 221,Large Exposures — internal risk appetite limits,supplements,"In addition to requirements in CPS 220, APS 221 and APS 222, ADIs must develop policies to ensure adequate portfolio diversification."
APS-220,APS-220-S13,APS 222,Associations with Related Entities — internal risk appetite limits,supplements,"In addition to requirements in CPS 220, APS 221 and APS 222, ADIs must develop policies to ensure adequate portfolio diversification."
APS-220,APS-220-S15,APS 220,Attachment A — Collateral valuation,elaborates,Paragraph 46 refers to Attachment A for detailed requirements on collateral valuation policies and processes.
APS-220,APS-220-S18,APS 180,Capital Adequacy: Counterparty Credit Risk — standardised approach and adjusted current exposure method,requires,"For derivative transaction exposures, ADIs must calculate exposures for non-performance measurement under the standardised approach or adjusted current exposure method prescribed in APS 180."
APS-220,APS-220-S21,APS 220,Attachment B — Prescribed provisioning,elaborates,Paragraph 108 refers to Attachment B for the prescribed provisioning approach that APRA may permit or require ADIs to implement.
APS-220,APS-220-ATT-B,APS 112,eligible lenders mortgage insurer definition and eligible collateral provisions,requires,Attachment B references APS 112 for the definition of eligible lenders mortgage insurer and for the eligible collateral provisions relevant to cash on deposit deductions in prescribed provisioning.
